,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__tol,param_classifier__max_iter,param_classifier__l1_ratio,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,classifier__tol,classifier__max_iter,classifier__l1_ratio,classifier__C
0,955.3902976512909,3.1607488620015562,0.09362273216247559,0.009625070735658095,1e-06,110,0.2631578947368421,12,"{'classifier__tol': 1e-06, 'classifier__max_iter': 110, 'classifier__l1_ratio': 0.2631578947368421, 'classifier__C': 12}",0.9971830985915493,0.988950276243094,1.0,1.0,0.9944444444444445,0.9961155638558175,0.0041340368984462165,12,1e-06,110,0.2631578947368421,12
1,1189.7267377853393,4.679801911499879,0.09167370796203614,0.018816183984320087,4.641588833612772e-05,130,0.9473684210526315,22,"{'classifier__tol': 4.641588833612772e-05, 'classifier__max_iter': 130, 'classifier__l1_ratio': 0.9473684210526315, 'classifier__C': 22}",0.9971910112359551,0.9916897506925207,1.0,1.0,0.9944444444444445,0.9966650412745841,0.003231257045136286,3,4.641588833612772e-05,130,0.9473684210526315,22
2,1115.2453954219818,3.920891879380918,0.08524398803710938,0.012412739574707232,1e-06,105,0.2631578947368421,2,"{'classifier__tol': 1e-06, 'classifier__max_iter': 105, 'classifier__l1_ratio': 0.2631578947368421, 'classifier__C': 2}",0.9971830985915493,0.988950276243094,1.0,1.0,0.9944289693593314,0.9961124688387949,0.0041352924540213965,14,1e-06,105,0.2631578947368421,2
3,1342.4843404769897,5.016497231069674,0.08491692543029786,0.011459903596750202,1e-06,130,0.6842105263157894,7,"{'classifier__tol': 1e-06, 'classifier__max_iter': 130, 'classifier__l1_ratio': 0.6842105263157894, 'classifier__C': 7}",0.9971910112359551,0.988950276243094,1.0,1.0,0.9944444444444445,0.9961171463846987,0.004134446747076002,8,1e-06,130,0.6842105263157894,7
4,2035.8272277355195,130.6414617262301,0.22513046264648437,0.03581009489921461,0.00046415888336127773,140,0.15789473684210525,22,"{'classifier__tol': 0.00046415888336127773, 'classifier__max_iter': 140, 'classifier__l1_ratio': 0.15789473684210525, 'classifier__C': 22}",1.0,0.9916897506925207,1.0,1.0,0.9944598337950139,0.997229916897507,0.0035039087647295076,1,0.00046415888336127773,140,0.15789473684210525,22
5,2054.048226261139,61.300304200711224,0.1024282455444336,0.023280346738641964,2.1544346900318822e-06,110,0.631578947368421,7,"{'classifier__tol': 2.1544346900318822e-06, 'classifier__max_iter': 110, 'classifier__l1_ratio': 0.631578947368421, 'classifier__C': 7}",0.9971830985915493,0.988950276243094,1.0,1.0,0.9944289693593314,0.9961124688387949,0.0041352924540213965,14,2.1544346900318822e-06,110,0.631578947368421,7
6,1649.012752866745,16.50373167879903,0.14841151237487793,0.02385231502327095,2.1544346900318823e-05,135,0.7368421052631579,17,"{'classifier__tol': 2.1544346900318823e-05, 'classifier__max_iter': 135, 'classifier__l1_ratio': 0.7368421052631579, 'classifier__C': 17}",0.9971910112359551,0.9916897506925207,1.0,1.0,0.9944444444444445,0.9966650412745841,0.003231257045136286,3,2.1544346900318823e-05,135,0.7368421052631579,17
7,1386.0695122241973,64.92525919323025,0.2819394111633301,0.10209046762657141,2.1544346900318823e-05,115,0.5263157894736842,17,"{'classifier__tol': 2.1544346900318823e-05, 'classifier__max_iter': 115, 'classifier__l1_ratio': 0.5263157894736842, 'classifier__C': 17}",0.9971910112359551,0.988950276243094,1.0,1.0,0.9944444444444445,0.9961171463846987,0.004134446747076002,8,2.1544346900318823e-05,115,0.5263157894736842,17
8,2426.3189183235168,105.33466599745277,0.1566458225250244,0.0529417339610737,2.1544346900318823e-05,140,0.7894736842105263,7,"{'classifier__tol': 2.1544346900318823e-05, 'classifier__max_iter': 140, 'classifier__l1_ratio': 0.7894736842105263, 'classifier__C': 7}",0.9971910112359551,0.9916897506925207,1.0,1.0,0.9944444444444445,0.9966650412745841,0.003231257045136286,3,2.1544346900318823e-05,140,0.7894736842105263,7
9,1621.638304233551,35.33967902062074,0.07367491722106934,0.004292047779850521,4.641588833612772e-05,85,1.0,7,"{'classifier__tol': 4.641588833612772e-05, 'classifier__max_iter': 85, 'classifier__l1_ratio': 1.0, 'classifier__C': 7}",0.9971751412429378,0.9861878453038674,1.0,1.0,0.9944289693593314,0.9955583911812272,0.005121569725221385,18,4.641588833612772e-05,85,1.0,7
10,1376.060560464859,10.210994871404003,0.09622845649719239,0.00934309251172901,0.0001,145,0.10526315789473684,2,"{'classifier__tol': 0.0001, 'classifier__max_iter': 145, 'classifier__l1_ratio': 0.10526315789473684, 'classifier__C': 2}",1.0,0.9916897506925207,1.0,1.0,0.9944598337950139,0.997229916897507,0.0035039087647295076,1,0.0001,145,0.10526315789473684,2
11,971.6272058963775,4.009828334420409,0.08636655807495117,0.007152074213557345,0.0001,115,0.21052631578947367,22,"{'classifier__tol': 0.0001, 'classifier__max_iter': 115, 'classifier__l1_ratio': 0.21052631578947367, 'classifier__C': 22}",0.9971910112359551,0.988950276243094,1.0,1.0,0.9944444444444445,0.9961171463846987,0.004134446747076002,8,0.0001,115,0.21052631578947367,22
12,1168.9221985816955,6.368665832271769,0.10483074188232422,0.019343126691918122,0.0001,125,0.3684210526315789,7,"{'classifier__tol': 0.0001, 'classifier__max_iter': 125, 'classifier__l1_ratio': 0.3684210526315789, 'classifier__C': 7}",0.9971910112359551,0.988950276243094,1.0,1.0,0.9944444444444445,0.9961171463846987,0.004134446747076002,8,0.0001,125,0.3684210526315789,7
13,1493.8207162380218,9.800445168632905,0.10000200271606445,0.019758278384813206,0.00046415888336127773,140,0.7368421052631579,7,"{'classifier__tol': 0.00046415888336127773, 'classifier__max_iter': 140, 'classifier__l1_ratio': 0.7368421052631579, 'classifier__C': 7}",0.9971910112359551,0.9916897506925207,1.0,1.0,0.9944444444444445,0.9966650412745841,0.003231257045136286,3,0.00046415888336127773,140,0.7368421052631579,7
14,731.9863290309906,2.3638195264723465,0.10110759735107422,0.020762346234268127,1e-05,85,0.5263157894736842,22,"{'classifier__tol': 1e-05, 'classifier__max_iter': 85, 'classifier__l1_ratio': 0.5263157894736842, 'classifier__C': 22}",0.9971830985915493,0.988950276243094,1.0,1.0,0.9944289693593314,0.9961124688387949,0.0041352924540213965,14,1e-05,85,0.5263157894736842,22
15,1173.5161627292632,4.503599449783983,0.09060721397399903,0.012638623223100654,0.0001,130,0.631578947368421,17,"{'classifier__tol': 0.0001, 'classifier__max_iter': 130, 'classifier__l1_ratio': 0.631578947368421, 'classifier__C': 17}",0.9971910112359551,0.9916897506925207,1.0,1.0,0.9944444444444445,0.9966650412745841,0.003231257045136286,3,0.0001,130,0.631578947368421,17
16,650.9913467407226,2.881975173175286,0.08919458389282227,0.005963223931325915,1e-05,75,0.5789473684210527,17,"{'classifier__tol': 1e-05, 'classifier__max_iter': 75, 'classifier__l1_ratio': 0.5789473684210527, 'classifier__C': 17}",0.9971751412429378,0.9861495844875346,1.0,1.0,0.9944289693593314,0.9955507390179609,0.005135574025035112,19,1e-05,75,0.5789473684210527,17
17,962.0629905700683,3.3518461008060796,0.10545997619628907,0.01846339454115918,2.1544346900318822e-06,110,0.47368421052631576,17,"{'classifier__tol': 2.1544346900318822e-06, 'classifier__max_iter': 110, 'classifier__l1_ratio': 0.47368421052631576, 'classifier__C': 17}",0.9971830985915493,0.988950276243094,1.0,1.0,0.9944444444444445,0.9961155638558175,0.0041340368984462165,12,2.1544346900318822e-06,110,0.47368421052631576,17
18,672.996049451828,2.6397892577453224,0.09203739166259765,0.016748476002852033,4.641588833612782e-06,75,0.631578947368421,12,"{'classifier__tol': 4.641588833612782e-06, 'classifier__max_iter': 75, 'classifier__l1_ratio': 0.631578947368421, 'classifier__C': 12}",0.9971751412429378,0.9861495844875346,1.0,1.0,0.9944289693593314,0.9955507390179609,0.005135574025035112,19,4.641588833612782e-06,75,0.631578947368421,12
19,1266.0023157119751,6.965333247780209,0.0765763759613037,0.01076270530644532,4.641588833612772e-05,115,0.5263157894736842,2,"{'classifier__tol': 4.641588833612772e-05, 'classifier__max_iter': 115, 'classifier__l1_ratio': 0.5263157894736842, 'classifier__C': 2}",0.9971751412429378,0.9889196675900277,1.0,1.0,0.9944289693593314,0.9961047556384595,0.004145487487172816,17,4.641588833612772e-05,115,0.5263157894736842,2
